Camera.trap.days	species	sd
192	192	15.02	1.27904636192735
193	193	15.03	1.29064231131541
194	194	15.03	1.29064231131541
195	195	15.03	1.29064231131541
196	196	15.07	1.30465367516487
197	197	15.11	1.27044889863402
198	198	15.12	1.26554974679629
199	199	15.12	1.26554974679629
200	200	15.13	1.26853928563207
201	201	15.14	1.27936221484288
202	202	15.14	1.27936221484288
203	203	15.15	1.25830573921179
204	204	15.17	1.24766448481419
205	205	15.19	1.26885775404495
206	206	15.21	1.25766337774349
207	207	15.22	1.25190763528015
208	208	15.23	1.23791124173918
209	209	15.24	1.25625706691816
210	210	15.24	1.25625706691816
211	211	15.24	1.25625706691816
212	212	15.25	1.26630776414557
213	213	15.25	1.26630776414557
214	214	15.28	1.26395243485495
215	215	15.29	1.2736252243581
216	216	15.32	1.27032963192133
217	217	15.33	1.27172038092999
218	218	15.34	1.28880180827391
219	219	15.34	1.28880180827391
220	220	15.34	1.28880180827391
221	221	15.35	1.29001605189293
222	222	15.36	1.29115092342867
223	223	15.36	1.29115092342867
224	224	15.36	1.29115092342867
225	225	15.37	1.27647715976195
226	226	15.37	1.27647715976195
227	227	15.37	1.27647715976195
228	228	15.38	1.29318337149966
229	229	15.39	1.30186346628534
230	230	15.42	1.29630399228115
231	231	15.42	1.29630399228115
232	232	15.42	1.29630399228115
233	233	15.43	1.31237312999133
234	234	15.44	1.30515682714161
235	235	15.48	1.32176802316848
236	236	15.48	1.32176802316848
237	237	15.49	1.32188264886628
238	238	15.49	1.32188264886628
239	239	15.51	1.32188264886628
240	240	15.51	1.32188264886628
241	241	15.52	1.32938810257679
242	242	15.52	1.32938810257679
243	243	15.53	1.32919813299887
244	244	15.55	1.32859004781442
245	245	15.56	1.32054472996502
246	246	15.57	1.31237312999133
247	247	15.58	1.3117957466039
248	248	15.59	1.31114107139198
249	249	15.6	1.30267789455786
250	250	15.6	1.30267789455786
251	251	15.62	1.32405865169611
252	252	15.65	1.32859004781442
253	253	15.66	1.31977959592433
254	254	15.67	1.33374993491617
255	255	15.7	1.32192085522347
256	256	15.7	1.32192085522347
257	257	15.71	1.31268096395557
258	258	15.72	1.31102550653596
259	259	15.72	1.31102550653596
260	260	15.74	1.33045143094403
261	261	15.75	1.33617122231903
262	262	15.78	1.3377200564748
263	263	15.8	1.34088769029319
264	264	15.81	1.34611299749323
265	265	15.81	1.34611299749323
266	266	15.82	1.34374721047397
267	267	15.84	1.34630058030339
268	268	15.85	1.33617122231903
269	269	15.86	1.32588830524287
270	270	15.88	1.34299529546323
271	271	15.9	1.35214009195898
272	272	15.92	1.34600043525891
273	273	15.93	1.34280725092297
274	274	15.94	1.33953105016025
275	275	15.95	1.34370962471642
276	276	15.96	1.34780030292535
277	277	15.98	1.34073702028987
278	278	16	1.33333333333333
279	279	16.01	1.33707807467544
280	280	16.05	1.32859004781442
281	281	16.05	1.32859004781442
282	282	16.09	1.31882255413415
283	283	16.1	1.31425748134554
284	284	16.11	1.31728984101925
285	285	16.13	1.3
286	286	16.15	1.30558241966773
287	287	16.16	1.29271462864435
288	288	16.17	1.28750796800516
289	289	16.18	1.27429917360029
290	290	16.2	1.27920429813366
291	291	16.21	1.28938948829485
292	292	16.23	1.30155307384693
293	293	16.24	1.31133365685319
294	294	16.27	1.32463068990812
295	295	16.28	1.32634532426209
296	296	16.28	1.32634532426209
297	297	16.3	1.32192085522347
298	298	16.32	1.30174707779409
299	299	16.33	1.29532960588369
300	300	16.34	1.30438266678691
301	301	16.35	1.29782257429259
302	302	16.37	1.3
303	303	16.37	1.3
304	304	16.38	1.31640772290704
305	305	16.39	1.31728984101925
306	306	16.41	1.32645955441353
307	307	16.43	1.32004744328575
308	308	16.43	1.32004744328575
309	309	16.44	1.32817182775438
310	310	16.44	1.32817182775438
311	311	16.45	1.33617122231903
312	312	16.45	1.33617122231903
313	313	16.45	1.33617122231903
314	314	16.45	1.33617122231903
315	315	16.47	1.35180388273364
316	316	16.47	1.35180388273364
317	317	16.52	1.33696475176975
318	318	16.54	1.35154232884755
319	319	16.55	1.34370962471642
320	320	16.56	1.32054472996502
321	321	16.56	1.32054472996502
322	322	16.58	1.30407287396298
323	323	16.58	1.30407287396298
324	324	16.58	1.30407287396298
325	325	16.59	1.29564148925807
326	326	16.6	1.30267789455786
327	327	16.63	1.27647715976195
328	328	16.64	1.26746386396798
329	329	16.64	1.26746386396798
