"","open_water","developed_open_space","developed_low_intensity","developed_medium_inensity","developed_high_intensity","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herbaceous","pasture_hay","cultivated_crops","woody_wetlands","emergent_herbaceous_wetlands"
"P2_C0117",683100,996300,13500,1800,0,4500,28135800,3668400,940500,603900,77400,0,0,3739500,132300
"P2_C0118",9e+05,910800,60300,28800,900,0,27482400,2419200,1720800,522000,113400,519300,0,4213800,104400
"P2_C0119",630900,1400400,197100,76500,11700,82800,21051900,2191500,1600200,366300,428400,7391700,90000,3025800,432000
"P2_C0120",696600,1220400,161100,65700,2700,19800,27463500,2619900,2187000,351000,168300,997200,0,2862900,168300
"P2_C0121",616500,1104300,72000,34200,900,900,28335600,1960200,1983600,294300,215100,612000,0,3543300,212400
"P2_C0122",489600,1081800,61200,28800,0,29700,28368000,1529100,1976400,318600,232200,494100,0,4177800,209700
"P2_C0123",2704500,1039500,17100,0,0,0,23022900,4526100,815400,414000,93600,0,0,5619600,739800
"P2_C0124",475200,1602000,197100,114300,5400,18900,20619900,6688800,1501200,1371600,630900,369900,0,5265000,127800
"P2_C0125",247500,1501200,189900,108900,6300,20700,21015900,6325200,1382400,1572300,693000,372600,0,5437800,109800
"P2_C0126",612900,1148400,127800,59400,4500,8100,22851900,4487400,1093500,1935000,576900,306000,0,5649300,135900
"P2_C0127",875700,1459800,804600,481500,168300,2700,6949800,927900,827100,75600,93600,8102700,4047300,12887100,1290600
"P2_C0128",311400,867600,8100,900,0,4500,28194300,2466000,1052100,908100,971100,0,0,4110300,112500
"P2_C0129",810900,891000,429300,172800,40500,1800,7664400,1407600,909000,98100,117000,7452900,3717000,14002200,1274400
"P2_C0130",534600,1501200,247500,93600,9900,78300,20319300,1818900,968400,264600,416700,8287200,567900,3387600,471600
"P2_C0131",565200,1479600,208800,70200,13500,78300,21587400,1879200,937800,272700,432900,7264800,402300,3366000,430200
"P2_C0132",289800,789300,8100,3600,0,0,27722700,2889900,1017900,1108800,919800,0,0,4117500,127800
"P2_C0133",385200,683100,10800,8100,0,1800,29628900,1465200,805500,1914300,1083600,62100,0,2752200,190800
"P2_C0134",931500,1704600,1152000,799200,308700,2700,7632000,530100,743400,57600,126900,9676800,4330800,9844200,1153800
"P2_C0135",819000,1363500,723600,481500,164700,2700,7914600,603900,697500,57600,133200,8814600,4417200,11577600,1214100
"P2_C0136",157500,970200,8100,3600,0,6300,27786600,2031300,1233900,1107000,674100,31500,0,4911300,76500
"P2_C0137",365400,878400,61200,33300,1800,6300,28381500,1466100,870300,2013300,1050300,186300,0,3366000,310500
"P2_C0138",332100,684900,163800,32400,0,2700,22680900,4999500,1745100,1259100,240300,1800,0,6759000,85500
"P2_C0139",468000,761400,186300,37800,2700,4500,21155400,5125500,2133000,1892700,598500,1800,0,6117300,508500
"P2_C0140",150300,927900,6300,2700,0,6300,27319500,1890000,1241100,978300,721800,27000,0,5605200,104400
"P2_C0141",160200,891900,9000,4500,0,6300,27359100,2002500,1266300,1142100,792900,36000,0,5218200,95400
"P2_C0142",259200,1008000,8100,2700,0,5400,27392400,2818800,1145700,856800,1045800,3600,0,4342500,105300
"P2_C0143",472500,1643400,368100,149400,19800,36900,18940500,1605600,829800,193500,387900,9759600,890100,3182400,514800
