"","open_water","developed_open_space","developed_low_intensity","developed_medium_inensity","developed_high_intensity","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herbaceous","pasture_hay","cultivated_crops","woody_wetlands","emergent_herbaceous_wetlands"
"P1_C0138",3600,58500,62100,9000,0,900,3982500,835200,261900,313200,45900,1800,0,421200,4500
"P1_C0139",72000,180000,60300,13500,0,900,3103200,972900,297900,109800,83700,0,0,1089900,19800
"P1_C0140",12600,232200,1800,900,0,4500,4356000,274500,160200,160200,4500,0,0,789300,6300
"P1_C0141",55800,247500,1800,900,0,4500,4299300,378000,215100,208800,5400,0,0,560700,19800
"P1_C0142",16200,313200,2700,0,0,0,3214800,901800,294300,201600,26100,0,0,1032300,1800
"P1_C0143",151200,236700,45900,9000,3600,0,2894400,290700,98100,47700,31500,1525500,0,586800,83700
"P1_C0144",186300,261000,18900,5400,3600,0,2799900,215100,126000,26100,95400,1553400,51300,550800,108900
"P1_C0145",193500,178200,7200,3600,1800,0,3107700,251100,126000,26100,126900,1151100,47700,656100,121500
"P1_C0146",223200,86400,12600,0,0,0,4503600,206100,193500,44100,6300,0,0,719100,6300
"P1_C0147",159300,145800,73800,10800,0,1800,2791800,1129500,297000,36000,18000,0,0,1206900,126000
"P1_C0148",12600,266400,4500,900,0,4500,4062600,363600,125100,123300,900,0,0,1029600,5400
"P1_C0149",34200,209700,0,900,0,0,4693500,239400,240300,225000,80100,18000,0,263700,0
"P1_C0150",0,147600,54900,7200,900,8100,3326400,1168200,653400,11700,12600,135900,0,468900,6300
"P1_C0151",0,147600,54900,7200,900,8100,3326400,1168200,653400,11700,12600,135900,0,468900,6300
"P1_C0152",11700,585900,72900,36000,15300,1800,754200,383400,127800,34200,27000,1530900,510300,1877400,32400
"P1_C0153",35100,117000,24300,0,900,0,2640600,1101600,97200,135900,9900,188100,0,1485000,163800
"P1_C0154",10800,138600,11700,0,0,0,2819700,2141100,190800,110700,18900,1800,0,542700,9000
"P1_C0155",10800,138600,11700,0,0,0,2819700,2141100,190800,110700,18900,1800,0,542700,9000
"P1_C0156",3600,199800,36000,18900,0,12600,2805300,1944900,224100,118800,24300,41400,0,568800,900
"P1_C0157",33300,111600,11700,0,0,0,2571300,1324800,86400,171900,9900,220500,0,1297800,162900
"P1_C0158",33300,255600,40500,21600,2700,0,1800000,2203200,235800,216900,148500,155700,0,870300,13500
"P1_C0159",33300,111600,11700,0,0,0,2571300,1324800,86400,171900,9900,220500,0,1297800,162900
"P1_C0160",33300,255600,40500,21600,2700,0,1800000,2203200,235800,216900,148500,155700,0,870300,13500
"P1_C0161",155700,104400,9900,900,0,0,3995100,313200,217800,214200,11700,17100,0,957600,4500
"P1_C0162",179100,186300,3600,1800,0,0,4184100,126900,99900,214200,5400,4500,0,978300,20700
"P1_C0163",175500,101700,10800,0,0,0,4072500,306000,209700,192600,3600,11700,0,911700,7200
"P1_C0164",18900,301500,53100,21600,1800,32400,2546100,1077300,527400,10800,186300,376200,93600,720000,35100
"P1_C0165",12600,19800,70200,14400,1800,3600,4507200,107100,124200,12600,27900,0,0,1080000,17100
"P1_C0166",12600,19800,70200,14400,1800,3600,4507200,107100,124200,12600,27900,0,0,1080000,17100
"P1_C0167",11700,691200,103500,56700,20700,1800,726300,402300,132300,35100,27000,1434600,479700,1848600,27000
"P1_C0168",11700,697500,105300,61200,20700,1800,723600,403200,131400,35100,27000,1428300,479700,1842300,25200
"P1_C0169",12600,19800,71100,13500,1800,3600,4551300,125100,109800,12600,9000,0,0,1049400,18900
"P1_C0170",12600,19800,71100,13500,1800,3600,4551300,125100,109800,12600,9000,0,0,1049400,18900
"P1_C0171",18900,288900,52200,21600,1800,32400,2559600,1094400,531000,9900,186300,340200,88200,735300,36000
"P1_C0172",15300,211500,11700,5400,0,10800,3042000,871200,663300,32400,55800,351000,0,648900,81000
"P1_C0173",15300,211500,11700,5400,0,10800,3042000,871200,663300,32400,55800,351000,0,648900,81000
"P1_C0174",12600,20700,73800,14400,1800,3600,4471200,143100,128700,12600,16200,0,0,1082700,18900
"P1_C0175",12600,20700,73800,14400,1800,3600,4471200,143100,128700,12600,16200,0,0,1082700,18900
"P1_C0176",18900,306900,52200,21600,1800,32400,2607300,1086300,520200,10800,186300,322200,78300,720900,36000
"P1_C0177",3600,209700,36900,18900,0,12600,2626200,2152800,207900,119700,31500,30600,0,544500,3600
"P1_C0178",3600,209700,36900,18900,0,12600,2626200,2152800,207900,119700,31500,30600,0,544500,3600
"P1_C0179",130500,174600,3600,0,900,0,4643100,431100,330300,21600,12600,53100,0,179100,17100
"P1_C0180",129600,172800,3600,0,900,0,4686300,419400,325800,16200,12600,43200,0,167400,14400
"P1_C0181",61200,133200,1800,900,0,0,5087700,243000,270900,19800,2700,0,0,168300,9000
"P1_C0182",61200,133200,1800,900,0,0,5087700,243000,270900,19800,2700,0,0,168300,9000
"P1_C0183",181800,184500,3600,1800,0,0,4124700,124200,98100,213300,5400,5400,0,1038600,20700
"P1_C0184",229500,85500,9000,0,0,0,4484700,229500,213300,101700,7200,11700,0,621000,4500
"P1_C0185",63900,139500,9900,18000,0,0,4879800,134100,153000,17100,20700,123300,0,400500,37800
"P1_C0186",64800,140400,9900,18000,0,0,4875300,135000,153000,18000,20700,126000,0,402300,36900
"P1_C0187",18900,288900,52200,21600,1800,32400,2559600,1094400,531000,9900,186300,340200,88200,735300,36000
"P1_C0188",1800,215100,37800,18900,0,12600,2716200,2046600,208800,121500,22500,41400,0,555300,0
"P1_C0189",1800,215100,37800,18900,0,12600,2716200,2046600,208800,121500,22500,41400,0,555300,0
"P1_C0190",18000,181800,900,900,0,0,4892400,295200,243900,65700,900,1800,0,276300,22500
"P1_C0191",18000,181800,900,900,0,0,4892400,295200,243900,65700,900,1800,0,276300,22500
"P1_C0192",44100,166500,900,900,0,0,4594500,397800,399600,49500,4500,0,0,322200,18000
"P1_C0193",44100,166500,900,900,0,0,4594500,397800,399600,49500,4500,0,0,322200,18000
"P1_C0194",6300,377100,74700,27900,10800,0,859500,311400,140400,29700,21600,1637100,496800,1951200,56700
"P1_C0195",6300,377100,74700,27900,10800,0,859500,311400,140400,29700,21600,1637100,496800,1951200,56700
"P1_C0196",14400,240300,7200,900,0,10800,3123000,890100,529200,33300,23400,207000,0,837000,83700
"P1_C0197",14400,240300,7200,900,0,10800,3123000,890100,529200,33300,23400,207000,0,837000,83700
"P1_C0198",54000,143100,17100,18000,0,0,4822200,126000,135000,21600,19800,155700,0,453600,33300
"P1_C0199",54000,143100,17100,18000,0,0,4820400,126000,135000,21600,19800,155700,0,454500,33300
"P1_C0200",18900,303300,52200,21600,1800,32400,2601000,1089000,521100,10800,186300,322200,78300,723600,36000
"P1_C0201",59400,138600,9000,14400,0,0,4971600,118800,134100,15300,17100,100800,0,384300,37800
"P1_C0202",59400,138600,9000,14400,0,0,4970700,118800,134100,15300,17100,101700,0,384300,37800
"P1_C0203",17100,86400,0,0,0,0,3081600,1196100,154800,38700,53100,18000,0,1338300,12600
"P1_C0204",35100,116100,17100,0,0,0,2738700,988200,101700,103500,9900,180000,0,1541700,166500
"P1_C0205",17100,86400,0,0,0,0,3081600,1196100,154800,38700,53100,18000,0,1338300,12600
"P1_C0206",18900,288900,52200,21600,1800,32400,2559600,1094400,531000,9900,186300,340200,88200,735300,36000
"P1_C0207",18900,302400,54000,21600,1800,32400,2551500,1075500,527400,10800,186300,376200,93600,720000,35100
"P1_C0208",11700,590400,72900,36900,15300,1800,754200,384300,126900,34200,27000,1530000,510300,1873800,32400
"P1_C0209",230400,73800,9900,0,0,0,4585500,180900,198000,29700,7200,0,0,677700,6300
"P1_C0210",0,144900,52200,12600,900,39600,3435300,1253700,561600,57600,6300,88200,0,343800,900
"P1_C0211",0,144900,52200,12600,900,39600,3435300,1253700,561600,57600,6300,88200,0,343800,900
"P1_C0212",100800,183600,3600,0,900,0,4589100,444600,340200,23400,12600,55800,0,227700,17100
"P1_C0213",100800,183600,3600,0,900,0,4589100,444600,340200,23400,12600,55800,0,227700,17100
"P1_C0214",1800,163800,45900,33300,0,12600,3167100,1440000,230400,116100,17100,43200,0,723600,5400
"P1_C0215",1800,163800,45900,33300,0,12600,3167100,1440000,230400,116100,17100,43200,0,723600,5400
"P1_C0216",1800,213300,36900,18900,0,12600,2730600,2038500,208800,120600,22500,41400,0,555300,0
"P1_C0218",138600,172800,3600,0,900,0,4680000,427500,324000,18900,12600,51300,0,163800,12600
"P1_C0223",8100,277200,19800,6300,900,20700,3393900,609300,500400,79200,48600,290700,9900,700200,35100
"P1_C0224",8100,277200,19800,6300,900,20700,3393900,609300,500400,79200,48600,290700,9900,700200,35100
"P1_C0226",12600,19800,71100,13500,1800,3600,4553100,125100,108900,12600,9000,0,0,1047600,18900
"P1_C0227",12600,19800,71100,13500,1800,3600,4553100,125100,108900,12600,9000,0,0,1047600,18900
"P1_C0231",33300,111600,11700,0,0,0,2571300,1318500,86400,171900,9900,219600,0,1299600,161100
"P1_C0232",8100,261000,18900,4500,0,9000,3717000,449100,434700,67500,30600,313200,0,648900,36000
"P1_C0233",8100,261000,18900,4500,0,9000,3717000,449100,434700,67500,30600,313200,0,648900,36000
"P1_C0237",3600,199800,36000,18900,0,12600,2803500,1948500,224100,118800,24300,41400,0,569700,900
"P1_C0238",3600,199800,36000,18900,0,12600,2803500,1948500,224100,118800,24300,41400,0,569700,900
"P1_C0239",1800,213300,36900,18900,0,12600,2730600,2038500,208800,120600,22500,41400,0,555300,0
"P1_C0244",57600,137700,9000,14400,0,0,4969800,118800,135000,15300,16200,103500,0,384300,37800
"P1_C0248",35100,116100,26100,900,900,0,2634300,1096200,94500,139500,9900,189900,0,1487700,167400
"P1_C0250",3600,211500,36900,18900,0,12600,2633400,2151000,207000,118800,30600,30600,0,543600,3600
"P1_C0253",3600,211500,36900,18900,0,12600,2633400,2151000,207000,118800,30600,30600,0,543600,3600
"P1_C0254",150300,167400,3600,0,900,0,4663800,430200,324000,20700,15300,62100,0,153000,10800
"P1_C0255",35100,116100,17100,0,0,0,2740500,988200,101700,103500,9900,180900,0,1540800,166500
"P1_C0264",12600,20700,73800,14400,1800,3600,4473900,143100,127800,12600,15300,0,0,1081800,18900
"P1_C0265",12600,20700,73800,14400,1800,3600,4473900,143100,127800,12600,15300,0,0,1081800,18900
"P1_C0266",11700,591300,73800,36000,16200,1800,753300,391500,126000,34200,27000,1527300,513000,1868400,31500
"P1_C0267",11700,591300,73800,36000,16200,1800,753300,391500,126000,34200,27000,1527300,513000,1868400,31500
"P1_C0271",12600,19800,69300,14400,1800,3600,4512600,108000,123300,12600,27000,0,0,1080000,18000
"P1_C0273",12600,19800,69300,14400,1800,3600,4512600,108000,123300,12600,27000,0,0,1080000,18000
"P1_C0276",11700,696600,106200,61200,20700,1800,724500,404100,131400,35100,27000,1429200,479700,1845900,25200
"P1_C0278",11700,696600,106200,61200,20700,1800,724500,404100,131400,35100,27000,1429200,479700,1845900,25200
"P1_C0279",125100,177300,3600,0,900,0,4646700,430200,332100,21600,12600,51300,0,188100,17100
"P1_C0280",8100,380700,74700,27900,10800,0,853200,316800,140400,30600,22500,1632600,497700,1946700,54900
"P1_C0282",8100,380700,74700,27900,10800,0,853200,316800,140400,30600,22500,1632600,497700,1946700,54900
"P1_C0287",63900,139500,9900,18000,0,0,4879800,134100,153000,17100,20700,123300,0,400500,37800
"P1_C0290",54000,143100,17100,18000,0,0,4822200,126000,135000,21600,19800,155700,0,455400,33300
"P1_C0292",189000,42300,7200,0,0,0,4776300,102600,169200,10800,6300,0,0,692100,7200
"P1_C0293",189000,42300,7200,0,0,0,4776300,102600,169200,10800,6300,0,0,692100,7200
"P1_C0294",12600,20700,73800,14400,1800,3600,4476600,143100,127800,12600,15300,0,0,1082700,18900
"P1_C0295",57600,137700,9000,14400,0,0,4967100,118800,134100,15300,17100,105300,0,385200,37800
"P1_C0296",54000,143100,17100,18000,0,0,4820400,126000,135000,21600,19800,155700,0,456300,33300
"P1_C0297",63900,139500,9900,17100,0,0,4882500,133200,153000,17100,20700,123300,0,400500,37800
"P1_C0298",12600,19800,71100,13500,1800,3600,4556700,125100,109800,12600,9000,0,0,1049400,18900
"P1_C0299",3600,212400,36900,18900,0,12600,2629800,2153700,207000,118800,30600,30600,0,543600,3600
"P1_C0300",3600,199800,36000,18900,0,12600,2803500,1943100,225000,118800,24300,41400,0,569700,900
"P1_C0301",150300,167400,3600,0,900,0,4663800,430200,324000,20700,15300,62100,0,153000,10800
"P1_C0302",144000,56700,11700,0,0,0,4625100,100800,149400,14400,3600,0,0,895500,6300
"P1_C0303",144000,56700,11700,0,0,0,4625100,100800,149400,14400,3600,0,0,895500,6300
"P1_C0304",155700,104400,9900,900,0,0,3999600,324000,216900,207000,9000,16200,0,952200,4500
"P1_C0305",155700,104400,9900,900,0,0,3999600,324000,216900,207000,9000,16200,0,952200,4500
"P1_C0306",12600,19800,70200,14400,1800,3600,4511700,108000,123300,12600,26100,0,0,1079100,17100
"P1_C0307",1800,214200,36900,18900,0,12600,2731500,2038500,210600,121500,22500,41400,0,556200,0
"P1_C0308",187200,94500,9000,0,0,0,4352400,261900,220500,146700,3600,11700,0,703800,5400
"P1_C0309",187200,94500,9000,0,0,0,4352400,261900,220500,146700,3600,11700,0,703800,5400
"P1_C0310",125100,177300,3600,0,900,0,4646700,430200,332100,21600,12600,51300,0,188100,17100
"P1_C0311",138600,172800,3600,0,900,0,4680000,427500,324000,18900,12600,51300,0,163800,12600
"P1_C0312",6300,376200,75600,27900,10800,0,857700,312300,140400,29700,20700,1640700,497700,1949400,57600
"P1_C0313",6300,376200,75600,27900,10800,0,857700,312300,140400,29700,20700,1640700,497700,1949400,57600
"P1_C0314",6300,376200,75600,27900,10800,0,857700,312300,140400,29700,20700,1640700,497700,1949400,57600
"P1_C0315",11700,697500,106200,61200,20700,1800,723600,403200,131400,35100,27000,1429200,479700,1841400,25200
"P1_C0316",11700,697500,106200,61200,20700,1800,723600,403200,131400,35100,27000,1429200,479700,1841400,25200
"P1_C0317",11700,697500,106200,61200,20700,1800,723600,403200,131400,35100,27000,1429200,479700,1841400,25200
"P1_C0318",11700,593100,72900,36900,16200,1800,753300,385200,126000,34200,27000,1530000,508500,1872000,32400
"P1_C0319",11700,593100,72900,36900,16200,1800,753300,385200,126000,34200,27000,1530000,508500,1872000,32400
"P1_C0320",11700,593100,72900,36900,16200,1800,753300,385200,126000,34200,27000,1530000,508500,1872000,32400
"P1_C0217",5400,358200,74700,27900,10800,0,874800,309600,143100,29700,22500,1634400,486900,1964700,56700
"P1_C0219",11700,360900,91800,38700,15300,1800,879300,467100,135900,32400,27000,1474200,383400,2030400,47700
"P1_C0220",11700,360900,91800,38700,15300,1800,879300,467100,135900,32400,27000,1474200,383400,2030400,47700
"P1_C0222",11700,360900,91800,38700,15300,1800,879300,467100,135900,32400,27000,1474200,383400,2030400,47700
"P1_C0225",16200,209700,45900,20700,0,49500,2390400,1736100,561600,92700,20700,276300,32400,527400,17100
"P1_C0228",6300,446400,77400,27900,10800,0,800100,351900,139500,27000,13500,1652400,525600,1863000,58500
"P1_C0229",6300,446400,77400,27900,10800,0,800100,351900,139500,27000,13500,1652400,525600,1863000,58500
"P1_C0230",6300,446400,77400,27900,10800,0,800100,351900,139500,27000,13500,1652400,525600,1863000,58500
"P1_C0234",5400,358200,74700,27900,10800,0,874800,309600,143100,29700,22500,1634400,486900,1964700,56700
"P1_C0235",5400,358200,74700,27900,10800,0,874800,309600,143100,29700,22500,1634400,486900,1964700,56700
"P1_C0236",5400,358200,74700,27900,10800,0,874800,309600,143100,29700,22500,1634400,486900,1964700,56700
"P1_C0240",49500,761400,153000,103500,35100,1800,693000,475200,139500,18900,33300,1182600,229500,2077200,43200
"P1_C0241",49500,761400,153000,103500,35100,1800,693000,475200,139500,18900,33300,1182600,229500,2077200,43200
"P1_C0243",49500,761400,153000,103500,35100,1800,693000,475200,139500,18900,33300,1182600,229500,2077200,43200
"P1_C0245",10800,688500,126900,67500,27000,1800,702000,433800,137700,27900,32400,1305000,286200,2107800,41400
"P1_C0246",10800,688500,126900,67500,27000,1800,702000,433800,137700,27900,32400,1305000,286200,2107800,41400
"P1_C0247",10800,688500,126900,67500,27000,1800,702000,433800,137700,27900,32400,1305000,286200,2107800,41400
"P1_C0249",11700,573300,111600,46800,19800,1800,756000,360000,164700,29700,31500,1347300,309600,2187900,44100
"P1_C0251",11700,573300,111600,46800,19800,1800,756000,360000,164700,29700,31500,1347300,309600,2187900,44100
"P1_C0252",11700,573300,111600,46800,19800,1800,756000,360000,164700,29700,31500,1347300,309600,2187900,44100
"P1_C0256",86400,981000,235800,243000,90000,1800,581400,531900,125100,18900,32400,933300,139500,1968300,29700
"P1_C0257",86400,981000,235800,243000,90000,1800,581400,531900,125100,18900,32400,933300,139500,1968300,29700
"P1_C0258",86400,981000,235800,243000,90000,1800,581400,531900,125100,18900,32400,933300,139500,1968300,29700
"P1_C0260",33300,867600,154800,128700,42300,1800,651600,474300,133200,18900,32400,1186200,249300,1983600,40500
"P1_C0261",33300,867600,154800,128700,42300,1800,651600,474300,133200,18900,32400,1186200,249300,1983600,40500
"P1_C0262",33300,867600,154800,128700,42300,1800,651600,474300,133200,18900,32400,1186200,249300,1983600,40500
"P1_C0268",11700,538200,104400,41400,16200,1800,787500,353700,162000,31500,29700,1384200,340200,2152800,42300
"P1_C0269",11700,538200,104400,41400,16200,1800,787500,353700,162000,31500,29700,1384200,340200,2152800,42300
"P1_C0270",11700,538200,104400,41400,16200,1800,787500,353700,162000,31500,29700,1384200,340200,2152800,42300
"P1_C0272",11700,538200,104400,41400,16200,1800,787500,353700,162000,31500,29700,1384200,340200,2152800,42300
"P1_C0274",11700,549900,89100,39600,16200,1800,789300,351900,147600,35100,27000,1437300,389700,2073600,36000
"P1_C0275",11700,549900,89100,39600,16200,1800,789300,351900,147600,35100,27000,1437300,389700,2073600,36000
"P1_C0277",11700,549900,89100,39600,16200,1800,789300,351900,147600,35100,27000,1437300,389700,2073600,36000
"P1_C0281",11700,464400,88200,39600,16200,1800,836100,383400,131400,34200,27000,1473300,387000,2062800,40500
"P1_C0283",9900,395100,72900,27900,12600,0,844200,329400,143100,33300,24300,1604700,481500,1965600,52200
"P1_C0284",9900,395100,72900,27900,12600,0,844200,329400,143100,33300,24300,1604700,481500,1965600,52200
"P1_C0285",9900,395100,72900,27900,12600,0,844200,329400,143100,33300,24300,1604700,481500,1965600,52200
"P1_C0286",9900,395100,72900,27900,12600,0,844200,329400,143100,33300,24300,1604700,481500,1965600,52200
"P1_C0288",11700,464400,88200,39600,16200,1800,836100,383400,131400,34200,27000,1473300,387000,2062800,40500
"P1_C0289",11700,464400,88200,39600,16200,1800,836100,383400,131400,34200,27000,1473300,387000,2062800,40500
"P1_C0291",11700,444600,93600,39600,16200,1800,846900,399600,135000,34200,27000,1441800,374400,2083500,45000
"P1_C0321",75600,603900,98100,56700,16200,1800,5718600,516600,284400,51300,47700,1596600,387000,2463300,78300
"P1_C0221",165600,99000,14400,0,0,0,4306500,271800,216900,120600,3600,2700,0,792000,6300
"P1_C0242",155700,101700,9900,900,0,0,4014900,302400,216900,212400,9900,17100,0,952200,4500
"P1_C0259",177300,99000,11700,0,0,0,4217400,293400,210600,149400,3600,11700,0,824400,8100
"P1_C0263",232200,63000,9000,0,0,0,4647600,169200,191700,26100,7200,0,0,649800,6300
"P1_C0322",54000,143100,17100,18000,0,0,4820400,126000,135000,21600,19800,155700,0,456300,33300
"P1_C0323",57600,137700,9000,14400,0,0,4967100,118800,134100,15300,17100,105300,0,385200,37800
"P1_C0324",2700,513900,107100,57600,15300,0,736200,428400,130500,19800,16200,1783800,490500,1647900,52200
"P1_C0325",8100,257400,18900,4500,0,900,3730500,442800,436500,66600,32400,300600,0,666000,36900
"P1_C0326",6300,376200,75600,27900,10800,0,856800,312300,140400,29700,19800,1641600,497700,1950300,57600
"P1_C0327",11700,700200,106200,62100,21600,1800,723600,404100,132300,35100,27000,1426500,479700,1841400,25200
"P1_C0328",11700,375300,79200,33300,15300,1800,866700,395100,135000,34200,27000,1556100,417600,2001600,48600
"P1_C0329",11700,445500,88200,39600,16200,1800,852300,389700,130500,34200,27000,1468800,386100,2063700,43200
"P1_C0330",10800,630900,111600,58500,22500,1800,734400,387900,148500,29700,32400,1352700,316800,2118600,39600
"P1_C0331",11700,375300,79200,33300,15300,1800,866700,395100,135000,34200,27000,1556100,417600,2001600,48600
"P1_C0332",11700,445500,88200,39600,16200,1800,852300,389700,130500,34200,27000,1468800,386100,2063700,43200
"P1_C0333",3600,212400,36900,18900,0,12600,2629800,2153700,207000,118800,30600,30600,0,543600,3600
"P1_C0334",6300,170100,267300,175500,11700,0,1232100,279900,105300,42300,9900,2365200,0,1158300,174600
"P1_C0335",12600,153900,273600,171000,11700,0,1316700,288000,134100,54900,12600,2098800,0,1322100,147600
"P1_C0336",12600,20700,73800,14400,1800,3600,4476600,143100,127800,12600,15300,0,0,1082700,18900
"P1_C0337",1800,214200,36900,18900,0,12600,2731500,2038500,210600,121500,22500,41400,0,556200,0
"P1_C0338",3600,199800,36000,18900,0,12600,2803500,1943100,225000,118800,24300,41400,0,569700,900
"P1_C0339",46800,131400,2700,1800,0,0,4699800,381600,156600,111600,264600,2700,0,154800,39600
"P1_C0340",26100,220500,2700,2700,0,0,4167900,449100,195300,556200,138600,13500,0,190800,37800
"P1_C0341",19800,122400,2700,1800,0,0,2592000,814500,151200,96300,129600,20700,0,2030400,14400
"P1_C0342",10800,630900,111600,58500,22500,1800,734400,387900,148500,29700,32400,1352700,316800,2118600,39600
"P1_C0343",11700,375300,79200,33300,15300,1800,866700,395100,135000,34200,27000,1556100,417600,2001600,48600
"P1_C0344",11700,445500,88200,39600,16200,1800,852300,389700,130500,34200,27000,1468800,386100,2063700,43200
"EM2_C0001",0,0,0,0,0,0,444600,776700,52200,6300,2700,8100,0,180900,27900
"EM2_C0002",20700,0,0,0,0,0,474300,775800,21600,112500,8100,53100,0,29700,3600
"EM2_C0003",0,95400,16200,2700,1800,0,239400,867600,149400,28800,7200,20700,46800,22500,900
"EM2_C0004",9000,17100,0,0,0,0,1299600,56700,62100,900,900,0,0,50400,0
"EM2_C0005",9000,31500,0,0,0,0,468000,660600,49500,11700,20700,1800,0,237600,8100
"EM2_C0006",0,49500,900,1800,0,0,212400,616500,153000,7200,5400,52200,318600,81000,1800
"EM2_C0007",9900,0,0,0,0,0,684000,428400,20700,25200,0,12600,0,265500,51300
"EM2_C0008",26100,0,0,0,0,0,1163700,0,2700,32400,13500,56700,0,130500,75600
"EM2_C0009",3600,67500,0,0,0,0,1075500,129600,94500,39600,0,1800,0,86400,900
"EM2_C0010",0,117900,11700,2700,0,0,423000,786600,32400,51300,12600,1800,0,63000,0
"EM2_C0011",0,0,0,0,0,0,1179000,22500,13500,8100,10800,7200,0,244800,13500
"EM2_C0012",0,9900,900,0,0,0,833400,423000,141300,1800,9000,0,0,72900,0
"EM2_C0013",25200,58500,0,0,0,0,1237500,9000,52200,1800,0,0,0,115200,3600
"EM2_C0014",0,0,0,0,0,0,430200,466200,121500,27900,0,23400,135900,296100,0
"EM2_C0015",4500,0,0,0,0,0,420300,834300,46800,7200,0,4500,0,158400,25200
"EM2_C0016",2700,6300,0,0,0,0,1074600,15300,3600,9900,17100,38700,0,256500,75600
"EM2_C0017",0,56700,2700,0,0,0,725400,297900,24300,0,0,20700,0,351000,22500
"EM2_C0018",0,63900,0,0,0,0,1180800,108000,89100,0,0,0,0,54900,900
"EM2_C0019",0,54000,23400,9000,0,0,310500,717300,54900,81900,6300,0,0,242100,0
"EM2_C0020",9000,42300,0,0,0,0,317700,770400,58500,11700,18900,7200,0,265500,1800
"EM2_C0021",27900,0,0,0,0,0,1288800,0,3600,11700,4500,19800,0,136800,6300
"EM2_C0022",0,63900,20700,900,0,0,777600,250200,83700,9000,0,24300,0,267300,1800
"EM2_C0023",0,35100,6300,1800,0,0,904500,347400,112500,2700,9900,900,0,80100,0
"EM2_C0024",0,37800,0,0,0,0,468900,514800,266400,12600,36900,0,61200,101700,0
"EM2_C0025",31500,0,0,0,0,0,1371600,26100,63900,900,2700,0,0,6300,0
"EM2_C0026",0,0,0,0,0,0,1264500,63900,91800,25200,0,0,0,57600,0
"EM2_C0027",0,0,0,0,0,0,446400,779400,52200,6300,2700,8100,0,177300,27000
"EM2_C0028",0,69300,5400,900,0,0,832500,265500,202500,2700,24300,82800,0,16200,0
"EM2_C0029",6300,26100,2700,3600,0,0,659700,297000,23400,107100,12600,76500,0,252900,33300
"EM2_C0030",20700,0,0,0,0,0,513000,580500,10800,212400,13500,80100,0,62100,6300
"EM2_C0031",0,36000,15300,8100,1800,17100,505800,450000,83700,4500,99900,16200,0,263700,0
"EM2_C0032",0,33300,0,0,0,0,1025100,255600,130500,0,0,53100,0,5400,0
"EM2_C0033",38700,0,0,0,0,0,1220400,0,3600,5400,7200,6300,0,204300,17100
"EM2_C0034",0,52200,5400,900,1800,0,401400,783900,108000,22500,0,1800,117000,3600,0
"EM2_C0035",6300,52200,0,1800,0,0,1060200,42300,188100,0,0,7200,0,113400,30600
"EM2_C0036",2700,50400,0,0,0,0,318600,858600,44100,11700,14400,1800,0,193500,3600
"EM2_C0037",900,51300,900,900,0,0,1315800,32400,54000,0,0,0,0,45000,0
"EM2_C0038",14400,51300,900,0,0,0,1161000,71100,70200,7200,900,0,0,108900,13500
"EM2_C0039",5400,54000,2700,1800,0,0,606600,395100,207900,4500,68400,1800,53100,97200,0
"EM2_C0040",0,0,0,0,0,0,1426500,27000,35100,0,0,0,0,7200,0
"EM2_C0041",0,36000,0,0,0,0,1078200,161100,214200,0,0,5400,0,0,0
"EM2_C0042",0,76500,28800,5400,0,0,247500,844200,45000,93600,18900,1800,0,139500,0
"EM2_C0043",2700,67500,900,0,0,0,605700,648000,28800,24300,15300,1800,0,100800,3600
"EM2_C0044",0,75600,0,1800,0,0,479700,769500,137700,4500,900,9000,0,17100,0
"EM2_C0045",23400,54900,3600,0,0,0,914400,325800,31500,52200,2700,18900,0,68400,8100
"EM2_C0046",31500,900,0,0,0,0,739800,467100,37800,80100,5400,22500,0,104400,9900
"EM2_C0047",15300,0,0,0,0,0,1444500,6300,32400,0,1800,0,0,0,0
"EM2_C0048",72900,5400,0,0,0,0,1086300,27900,0,22500,10800,30600,0,165600,76500
"EM2_C0049",0,29700,0,0,0,0,971100,79200,11700,20700,0,61200,0,254700,67500
"EM2_C0050",4500,56700,900,900,0,0,1296900,29700,51300,0,0,1800,0,57600,900
"EM2_C0051",0,46800,0,0,0,0,243900,583200,200700,12600,5400,3600,68400,337500,0
"EM2_C0052",900,48600,900,900,0,0,1287000,59400,84600,0,0,0,0,18000,900
"EM2_C0053",11700,0,0,0,0,0,560700,732600,18900,56700,0,1800,0,106200,13500
"EM2_C0054",0,59400,22500,3600,900,8100,678600,420300,124200,4500,0,0,0,178200,0
"EM2_C0055",0,105300,13500,2700,0,0,400500,787500,36000,61200,3600,1800,0,87300,0
"EM2_C0056",0,41400,0,0,0,0,856800,0,1800,30600,900,247500,0,277200,46800
"EM2_C0057",8100,0,0,0,0,0,1202400,5400,900,9900,0,18900,0,246600,6300
"EM2_C0058",0,44100,21600,3600,900,8100,935100,261000,101700,0,0,0,0,123300,0
"EM2_C0059",35100,0,0,0,0,0,990900,9900,0,3600,6300,63900,0,308700,78300
"EM2_C0060",7200,38700,0,0,0,0,869400,460800,20700,12600,18000,1800,0,63000,7200
"EM2_C0061",0,51300,16200,900,0,0,789300,369000,136800,9000,0,1800,0,124200,0
"EM2_C0062",25200,58500,0,0,0,0,1237500,9000,52200,1800,0,0,0,115200,3600
